,CH,CU,FC,FF,SI,batter,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FC,prev_FF,prev_SI,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
64,0,0,0,1,0,474443,0,0,1,1,0,0,0,0,3,21,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.9,13.0,0.9944666666666668,1.4670666666666667,-1.08,1.98
65,0,0,0,1,0,474443,0,0,0,1,0,0,0,0,3,21,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92.9,7.0,1.1169333333333331,1.604666666666667,-0.57,1.56
66,0,0,0,1,0,474443,0,0,0,0,0,0,0,0,3,21,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.8,6.0,0.909575,1.4785333333333333,0.28,2.62
67,0,0,0,1,0,606299,0,0,3,2,0,0,1,2,2,17,6,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88.9,12.0,0.216525,0.8349666666666666,1.47,3.11
68,0,0,1,0,0,606299,0,0,2,2,0,0,1,2,2,17,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92.5,6.0,0.6883,1.4670666666666667,0.4,2.11
69,0,0,0,1,0,606299,0,0,2,1,0,0,1,2,2,17,4,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92.9,2.0,0.7871083333333333,1.4556,-0.24,2.91
70,0,0,0,1,0,606299,0,0,2,0,0,0,1,2,2,17,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.2,14.0,1.4704166666666667,0.5755333333333332,1.32,2.39
71,1,0,0,0,0,606299,0,0,1,0,0,0,1,2,2,17,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.5,12.0,1.29785,0.6543666666666667,1.32,2.7
72,0,0,0,0,1,606299,0,0,0,0,0,0,1,2,2,17,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88.1,6.0,-0.1467,0.9768666666666664,0.3,2.75
73,0,0,1,0,0,534947,0,0,1,1,0,0,0,2,2,16,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90.3,13.0,0.16225,0.6959333333333332,-1.46,1.04
74,0,0,0,0,1,534947,0,0,0,1,0,0,0,2,2,16,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92.9,7.0,0.5491333333333333,1.834,-0.67,1.45
