,CH,CU,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FF,prev_SL,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_into_play,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
16794,0,0,1,0,0,0,0,0,0,0,0,2,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16795,0,0,1,0,1,0,2,2,0,0,1,0,2,12,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,95.6,2.0,-1.0053583333333331,1.705,0.14,2.967
16796,0,0,1,0,1,0,2,1,0,0,1,0,2,12,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,95.8,12.0,-0.9079416666666666,1.7064333333333332,0.729,4.141
16797,0,0,1,0,1,0,1,1,0,0,1,0,2,12,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,94.9,11.0,-0.8091333333333331,1.4455666666666669,-0.925,2.632
16798,0,0,1,0,1,0,1,0,0,0,1,0,2,12,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,94.2,11.0,-1.1097333333333332,1.4986,-0.877,4.185
16799,0,0,1,0,1,0,0,0,0,0,1,0,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16800,0,0,1,0,0,0,3,2,0,0,0,0,2,11,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,79.8,12.0,1.0612666666666668,-0.8348666666666666,0.996,3.383
16801,0,1,0,0,0,0,2,2,0,0,0,0,2,11,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,82.3,5.0,0.2805416666666666,0.1197333333333333,0.19,2.416
16802,0,1,0,0,0,0,2,1,0,0,0,0,2,11,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,82.0,12.0,0.383525,0.38776666666666654,1.046,2.861
16803,0,0,0,1,0,0,1,1,0,0,0,0,2,11,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,92.9,13.0,-0.8216583333333333,1.6820666666666668,-1.512,2.194
16804,0,0,1,0,0,0,0,1,0,0,0,0,2,11,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,91.8,5.0,-0.8244416666666666,1.6921,0.112,2.576
16805,0,0,1,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16806,1,0,0,0,1,0,3,2,0,0,0,2,1,6,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,87.8,13.0,-1.234983333333333,0.829233333333333,-2.214,2.284
16807,1,0,0,0,1,0,2,2,0,0,0,2,1,6,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,79.9,14.0,0.5157333333333332,-0.9896666666666668,0.212,1.305
16808,0,1,0,0,1,0,2,2,0,0,0,2,1,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,86.2,13.0,-1.3337916666666667,1.259233333333333,-1.195,2.307
16809,1,0,0,0,1,0,2,1,0,0,0,2,1,6,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,93.0,4.0,-1.177925,1.3968333333333331,-0.718,2.728
16810,0,0,1,0,1,0,2,0,0,0,1,1,1,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,92.5,11.0,-1.1417416666666664,1.2950666666666668,-1.47,2.572
16811,0,0,1,0,1,0,1,0,0,0,1,1,1,6,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,93.3,11.0,-1.144525,1.5258333333333332,-1.98,3.163
16812,0,0,1,0,1,0,0,0,0,0,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16813,0,0,1,0,0,0,0,1,0,0,0,1,1,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92.6,12.0,-1.168183333333333,1.5043333333333333,0.872,2.691
16814,0,0,1,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16815,0,1,0,0,1,0,2,2,0,0,0,0,1,4,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,79.0,11.0,1.1392,-1.1788666666666667,-1.422,3.07
