,CH,CU,FC,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
20379,0,0,0,1,0,1,1,3,2,0,0,0,0,4,24,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,92.9,13.0,-1.4047666666666667,1.3552666666666668,-1.297,2.199
20380,0,0,0,1,0,1,1,3,1,0,0,0,0,4,24,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91.7,8.0,-1.4938333333333331,1.5932,0.005,1.787
20381,0,0,0,1,0,1,1,2,1,0,0,0,0,4,24,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91.8,14.0,-1.772166666666667,1.7379666666666669,0.833,1.809
20382,1,0,0,0,0,1,1,1,1,0,0,0,0,4,24,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,83.5,13.0,-1.7178916666666668,0.020833333333333332,-2.091,1.985
20383,0,1,0,0,0,1,1,1,0,0,0,0,0,4,24,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,77.1,11.0,0.8455583333333333,-0.4063,-1.115,2.594
20384,1,0,0,0,0,1,1,0,0,0,0,0,0,4,24,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82.8,13.0,-1.6483083333333333,-0.1325333333333333,-1.632,2.411
20385,0,0,0,1,0,0,1,1,1,0,0,0,2,3,19,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,93.6,9.0,-1.3157,1.3237333333333332,0.598,1.907
20386,0,0,0,0,1,0,1,1,0,0,0,0,2,3,19,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85.6,4.0,0.11771666666666665,0.2888666666666666,-0.73,2.322
20387,0,0,0,0,1,0,1,0,0,0,0,0,2,3,19,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,85.7,13.0,0.1706,0.3347333333333333,-0.443,1.197
20388,0,0,0,1,0,1,1,1,2,0,0,0,1,3,18,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,94.6,13.0,-1.453475,1.0041,-0.965,1.344
20389,1,0,0,0,0,1,1,1,1,0,0,0,1,3,18,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85.4,13.0,-1.3003916666666668,-0.18843333333333329,-1.121,1.508
20390,0,0,0,0,1,1,1,1,0,0,0,0,1,3,18,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,81.0,7.0,0.10101666666666664,-0.07806666666666665,-0.566,1.982
20391,0,0,0,1,0,1,1,0,0,0,0,0,1,3,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91.3,14.0,-1.3922416666666668,1.5158,0.996,1.292
20392,0,0,0,0,1,0,1,1,2,0,0,0,0,3,17,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,84.2,14.0,0.09405833333333333,-0.16836666666666664,0.089,0.818
20393,0,0,0,0,1,0,1,1,1,0,0,0,0,3,17,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85.0,7.0,-0.209325,0.4064,-0.424,1.567
20394,0,0,0,1,0,0,1,1,0,0,0,0,0,3,17,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,91.9,8.0,-1.5689833333333332,1.3151333333333333,0.202,1.948
20395,0,0,0,1,0,0,1,0,0,0,0,0,0,3,17,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90.5,14.0,-1.7638166666666668,1.6964,2.187,1.681
20396,1,0,0,0,0,1,1,2,2,1,1,1,2,2,13,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,86.2,11.0,-1.8932416666666667,-0.042233333333333324,-1.045,2.819
20397,1,0,0,0,0,1,1,1,2,1,1,1,2,2,13,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,85.6,13.0,-1.7053666666666667,-0.03506666666666666,-1.581,2.129
20398,0,0,0,1,0,1,1,1,1,1,1,1,2,2,13,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,95.6,8.0,-1.5133166666666669,1.411166666666667,-0.113,1.555
20399,0,0,0,1,0,1,1,1,0,1,1,1,2,2,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,94.5,7.0,-1.4938333333333331,1.3868,-0.472,2.05
20400,0,0,0,1,0,1,1,0,0,1,1,1,2,2,13,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,94.5,13.0,-1.2461166666666668,0.8034333333333331,-0.408,1.333
20401,0,0,0,1,0,1,1,1,1,1,1,1,1,2,12,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,95.1,5.0,-1.269775,1.194733333333333,0.241,2.083
20402,0,0,0,1,0,1,1,1,0,1,1,1,1,2,12,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,95.1,13.0,-1.2043666666666664,1.1116,-0.928,2.002
20403,1,0,0,0,0,1,1,0,0,1,1,1,1,2,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,85.0,11.0,-1.545325,-0.1182,-1.935,3.28
20404,0,0,0,1,0,1,1,2,0,0,1,1,1,2,11,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,94.2,9.0,-1.3685833333333333,1.0585666666666664,0.546,1.427
20405,1,0,0,0,0,1,1,1,0,0,1,1,1,2,11,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,84.5,13.0,-1.47435,-0.09096666666666665,-1.751,2.203
20406,1,0,0,0,0,1,1,0,0,0,1,1,1,2,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,85.5,11.0,-1.2502916666666668,0.2415666666666666,-0.992,3.642
20407,0,0,0,1,0,1,1,1,2,0,1,1,0,2,10,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,95.9,13.0,-1.152875,0.9353,-1.029,1.868
20408,0,0,0,0,1,1,1,0,2,0,1,1,0,2,10,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,86.8,13.0,-0.01170833333333333,0.44366666666666654,-0.924,1.749
20409,0,0,0,1,0,1,1,0,2,0,1,1,0,2,10,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,96.2,4.0,-1.6928416666666668,1.0686,-0.399,2.288
20410,0,0,0,1,0,1,1,0,1,0,1,1,0,2,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,94.9,4.0,-1.4353833333333332,1.4011333333333331,-0.591,2.482
20411,0,0,0,1,0,1,1,0,0,0,1,1,0,2,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,94.2,7.0,-1.5717666666666668,1.2520666666666664,-0.431,1.762
20412,0,0,0,1,0,1,1,3,2,0,0,1,0,2,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,94.3,14.0,-1.428425,1.346666666666667,0.901,1.272
20413,0,0,0,1,0,1,1,2,2,0,0,1,0,2,9,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,95.6,9.0,-1.8334,1.181833333333333,0.796,1.687
20414,1,0,0,0,0,1,1,1,2,0,0,1,0,2,9,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,87.7,11.0,-1.6469166666666668,0.0667,-1.947,2.557
20415,1,0,0,0,0,1,1,1,1,0,0,1,0,2,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,86.1,13.0,-1.4506916666666667,0.15556666666666666,-0.318,1.295
20416,1,0,0,0,0,1,1,1,0,0,0,1,0,2,9,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85.6,9.0,-1.723458333333333,0.1054,0.484,1.864
20417,0,0,0,1,0,1,1,0,0,0,0,1,0,2,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.0,14.0,-1.9489083333333332,1.5631,0.378,0.999
20418,0,0,0,1,0,1,1,3,1,0,0,0,0,2,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.6,14.0,-1.6274333333333333,1.1159,0.84,2.004
20419,0,0,0,1,0,1,1,2,1,0,0,0,0,2,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91.9,9.0,-1.8779333333333332,1.2864666666666669,0.405,1.825
20420,0,0,0,1,0,1,1,1,1,0,0,0,0,2,8,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.3,13.0,-1.49105,1.2563666666666664,-1.258,1.714
20421,0,0,0,1,0,1,1,0,1,0,0,0,0,2,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91.8,13.0,-1.420075,1.2176666666666665,-1.622,2.433
20422,0,0,0,1,0,1,1,0,0,0,0,0,0,2,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91.5,7.0,-1.4813083333333332,1.2965,-0.734,1.858
20423,0,0,0,1,0,0,1,2,2,0,0,0,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94.0,2.0,-1.3435333333333332,1.0471,-0.157,2.908
20424,0,0,0,0,1,0,1,2,2,0,0,0,2,1,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87.5,5.0,0.13859166666666664,0.44796666666666657,0.199,2.238
20425,0,0,0,0,1,0,1,1,2,0,0,0,2,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.4,13.0,0.2151333333333333,0.3734333333333333,-0.527,1.284
20426,0,0,0,1,0,0,1,1,1,0,0,0,2,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.8,6.0,-1.0819,1.211933333333333,0.593,2.457
20427,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86.9,5.0,0.032825,0.5139,0.209,2.503
20428,0,0,0,1,0,0,1,0,0,0,0,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.3,14.0,-1.354666666666667,1.475666666666667,1.632,0.796
20429,0,0,0,1,0,1,1,1,2,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94.2,14.0,-1.072158333333333,1.267833333333333,1.003,2.052
20430,1,0,0,0,0,1,1,0,2,0,0,0,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.3,13.0,-1.8194833333333331,0.013666666666666666,-1.646,0.237
20431,0,0,0,1,0,1,1,0,1,0,0,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.9,14.0,-1.2976083333333333,1.3810666666666669,0.838,2.012
20432,0,0,0,1,0,1,1,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90.2,13.0,-1.4562583333333332,1.3223,-1.046,2.598
20433,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84.0,8.0,0.3946583333333333,0.2086,0.086,1.712
20434,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91.0,6.0,-1.7332,1.6204333333333332,0.294,2.143
20435,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89.9,6.0,-1.4214666666666669,1.2778666666666665,0.351,1.859
20436,0,0,0,1,0,0,0,1,2,0,0,0,2,8,60,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,98.4,5.0,-1.1542666666666663,1.4126,-0.194,2.58
20437,0,0,0,1,0,0,0,1,1,0,0,0,2,8,60,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,95.5,6.0,-0.894025,1.1517333333333333,0.335,2.488
20438,0,0,0,0,1,0,0,0,1,0,0,0,2,8,60,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,88.9,14.0,0.191475,0.4952666666666666,1.453,1.302
20439,0,0,0,0,1,0,0,0,0,0,0,0,2,8,60,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,86.8,7.0,0.191475,0.2745333333333333,-0.37,1.948
20440,0,0,0,0,1,0,0,0,2,0,0,0,1,8,59,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,87.8,13.0,0.15111666666666665,0.1154333333333333,-0.037,0.272
20441,1,0,0,0,0,0,0,0,1,0,0,0,1,8,59,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,85.6,8.0,-1.4256416666666667,0.09966666666666664,-0.25,1.583
20442,0,0,0,1,0,0,0,0,0,0,0,0,1,8,59,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,93.7,8.0,-0.9984,1.237733333333333,-0.275,1.634
